colct_stdde,goods_nm,shop_nm,anals_trget_pc,job_id
2020-02-07,필터 (에어가드 마스크 필터 1개 식약처 KF94),인터파크,4500,490008
2020-02-07,웰빙 파인더스 황사 마스크 1개 KF94 3겹 방한 일회용 미세먼지,보영코리아,5000,490008
2020-02-07,황사 방역 보건용 마스크 KF94 1개 대형 제조사랜덤 소량입고,11번가,3470,490008
2020-02-07,[재고있음] 국내산 KF94 성인용 대형 마스크 1개 재고있음,티몬,3040,490008
2020-02-07,필터 (에어가드 마스크 필터 1개 식약처 KF94),옥션,4500,490008
2020-02-07,KF94 에버그린 크린탑 4중필터 대형(성인용) 방역마스크 1개,디에스스토리,4000,490008
2020-02-07,KF94 이편한 방역 마스크 대형 1개,원하몰,4000,490008
2020-02-07,3Q 미세 먼지 KF94 대형 1회용 일회용 마스크 1개,롯데쇼핑,3910,490008
2020-02-07,3Q 미세 먼지 KF94 대형 1회용 일회용 마스크 1개,제니지니,4220,490008
2020-02-07,[리치윤] BT21 2080 KF94 황사 미세머지 마스크 1개 / 코로나 미세먼지 마스크,리치윤,2980,490008
2020-02-07,필터 (에어가드 마스크 필터 1개 식약처 KF94),nkstore,4500,490008
2020-02-07,국산 숨담은 미세먼지마스크 KF94 소형 1개 가격,포제이구매대행,2000,490008
2020-02-07,오가넥스 미세먼지 황사마스크 KF94 중형 1매입 1개,쿠팡,3000,490008
2020-02-07,KF94 인증완료 황사마스크 1개당,G마켓,3790,490008
2020-02-07,파아란마스크 미세먼지 필터교체마스크 KF94 (성인용)투명가드1개+필터 6매,파아란마스크,29900,490008
2020-02-07,[아이엔샵] 국내생산 일회용 황사 미세먼지 KF94 인증 마스크1개(대 사이즈만 가능),위메프,3650,490008
2020-02-07,필터 (에어가드 마스크 필터 1개 식약처 KF94),11번가,4500,490008
2020-02-07,로봇트레인 마스크에프 KF94 1개(소형),GSfresh,2250,490008
2020-02-07,황사 방역 보건용 마스크 KF94 1개 대형 제조사랜덤 소량입고,쿠팡,2490,490008
2020-02-07,파아란마스크 미세먼지 필터교체마스크 KF94 (성인용)화이트가드1개+필터 6매,파아란마스크,29900,490008
2020-02-07,필터 (에어가드 마스크 필터 1개 식약처 KF94),G마켓,4500,490008
2020-02-07,웰빙파인더스 황사마스크(2+1) KF94 3매입 백색 - 1개,위메프,8500,490008
2020-02-07,엘지생활건강 테라브레스 미세먼지 마스크 KF94 소형1개,11번가,3480,490008
2020-02-07,[아이엔샵] 일회용 황사 미세먼지 마스크 KF94 마스크1개(대 사이즈만 가능),아이엔샵inshop,3600,490008
2020-02-07,황사 방역 보건용 마스크 KF94 1개 중형 제조사랜덤 소량입고,쿠팡,2490,490008
2020-02-07,엘지생활건강 테라브레스 미세먼지 마스크 KF94 소형1개,11번가,3480,490008
2020-02-07,당일발송 KF94미세먼 황사마스크 대형5매입x1개식약처,G마켓,20000,490008
2020-02-07,필터 (에어가드 마스크 필터 1개 식약처 KF94),위메프,4800,490008
2020-02-07,황사 방역 보건용 마스크 KF94 1개 소형 제조사랜덤 소량입고,쿠팡,2490,490008
2020-02-07,대박이네 하이가드 방역마스크 KF94 대형 흰색 1개,쿠팡,3000,490008
2020-02-07,대박이네 하이가드 방역마스크 KF94 대형 검정 1개,쿠팡,3000,490008
2020-02-07,KF94 디자인 황사 방역용 마스크 대형 1개,쿠팡,5750,490008
2020-02-07,KF94 디자인 황사 방역용 마스크 대형 1개,쿠팡,5750,490008
2020-02-07,국내생산 황사마스크kf94대형 x1개 식약처허가제품,G마켓,3500,490008
2020-02-07,크리넥스 황사방역용마스크 베이직(대형 KF94) 3매입 1개,쿠팡,6500,490008
2020-02-07,포켓몬 황사 방역마스크 KF94/소형/어린이 마스크 1개,11번가,2230,490008
2020-02-07,(국내생산) 코튼데이 마스크 KF94 화이트/대형 1개,G마켓,19360,490008
2020-02-07,코디 후레시데이 황사*방역마스크 대형 KF94 1개,쿠팡,1400,490008
2020-02-07,국산 KF94 3단 황사 마스크 1개(3매입)_당일발송가능,G마켓,11440,490008
2020-02-07,AIRGUARD 2.0 미세먼지마스크 KF94 에어가드마스크 (추가필터 1개 포함),별바이크,19200,490008
2020-02-07,KF94 건영크린텍 황사방역 미세먼지마스크 낱개(1개)/(국산)대형 블랙/검정마스크 KF94 우한폐렴/코로나바이러스/ 황사방역 미세먼지마스크 개별포장 식약청허가 미세먼지 일회용마,늘품의료기,2500,490008
2020-02-07,강블리라이프 황사마스크 KF94 25매 (오전10시 오픈) 인당 1개만 구매 가능! 2개 이상 구매 시 취소됩니다.,강블리라이프,14900,490008
2020-02-07,|우체국 당일발송| [ KF80 / KF94 ] 케어온 밸브마스크 대형 [화이트/블랙] 1개 / 에어홀마스크 황사마스크 초미세먼지마스크 4중차단 / 국산필터,쉬즈리얼,4300,490008
2020-02-07,[엘지생활건강] 에어워셔 베이직 황사마스크 KF94 [소형/1개],컴퓨존,2700,490008
2020-02-07,국내배송 코이모-원엔드 kf94 마스크/1개당 2500원 5개입/ 황사마스크/ 우한 코로나 바이러스 예방,아임직구,12500,490008
2020-02-07,KF94 우한 코로나 미세먼지 황사 3중필터 식약처인증 완료 낱개 개별포장 성인용 일회용 방역 마스크 1개 가격 입니다.,다온네이처,4300,490008
2020-02-07,웰빙파인더스 황사마스크 1개/황사마스크/ KF94/3겹마스크/방한마스크/일회용마스크/미세먼지마스크/KF80 소아용 황사마스크,DaPaLa,3500,490008
2020-02-07,엘지생활건강 테라브레스 미세먼지 마스크 KF94 소형1개,리치시앤씨,3900,490008
2020-02-07,ㅇ체리31ㅇDOBU방역용 마스크(KF94)/면체(1개),인터파크,13020,490008
2020-02-07,파인텍 에어워셔 베이직 뽀로로 황사마스크 (소형/KF94) 1개,옥션,2900,490008
2020-02-07,[함소아] 배기마스크 KF94 1개,GSfresh,3000,490008
